Country,Year,SuicideRate,AlcoholRate,HomicideRate,GDP_per_capita,SuicideRate_diff,AlcoholRate_roll3,HomicideRate_roll3,GDP_per_capita_roll3,Predicted_diff,Predicted_SuicideRate
South Africa,2017,18.18689117,8.405495174,14.477758,6618.33508255701,-1.3972647699999996,8.400319942666668,39.09066963666667,5973.58226195733,-0.03051460279931628,19.553641337200684
South Africa,2017,18.18689117,8.405495174,66.54763131,6618.33508255701,0.0,8.402907558333334,39.81450060666666,6295.958672257169,-0.02978423103383111,18.15710693896617
South Africa,2017,18.18689117,8.405495174,39.68809079,6618.33508255701,0.0,8.405495174,40.2378267,6618.33508255701,-0.02932883233744459,18.157562337662554
South Africa,2018,19.15264685,8.451478767,13.54616672,6914.1780318076,0.9657556800000009,8.420823038333333,39.92729627333333,6716.949398973873,-0.029705459077743347,18.157185710922256
South Africa,2018,19.15264685,8.451478767,61.9408102,6914.1780318076,0.0,8.436150902666666,38.39168923666667,6815.563715390736,-0.0312030761961994,19.1214437738038
South Africa,2018,19.15264685,8.451478767,36.99597809,6914.1780318076,0.0,8.451478767,37.49431833666667,6914.1780318076,-0.0321166836597853,19.120530166340213
South Africa,2019,20.1403132,7.9399256,13.50828653,6533.71121032856,0.9876663500000014,8.280961044666666,37.481691606666665,6787.355757981252,-0.030833957353874265,19.121812892646126
South Africa,2019,20.1403132,7.9399256,61.51335258,6533.71121032856,0.0,8.110443322333333,37.33920573333334,6660.5334841549075,-0.029670056963831796,20.11064314303617
South Africa,2019,20.1403132,7.9399256,36.78438508,6533.71121032856,0.0,7.9399256,37.268674729999994,6533.71121032856,-0.02844031520821828,20.111872884791783
South Africa,2020,21.09957574,7.759932074,12.96197267,5580.60383075189,0.9592625399999974,7.879927758,37.086570110000004,6216.00875046967,-0.028226264761562727,20.112086935238437
South Africa,2020,21.09957574,7.759932074,58.96711058,5580.60383075189,0.0,7.8199299159999995,36.23782277666667,5898.30629061078,-0.028622217037361702,21.070953522962636
South Africa,2020,21.09957574,7.759932074,35.28086388,5580.60383075189,0.0,7.759932074,35.73664904333334,5580.60383075189,-0.02870012662250682,21.070875613377492
South Africa,2021,22.29580067,7.791869619,12.53324422,6828.75624590017,1.1962249299999996,7.7705779223333336,35.593739559999996,5996.654635801317,-0.02880002792467765,21.07077571207532
South Africa,2021,22.29580067,7.791869619,56.35689053,6828.75624590017,0.0,7.781223770666667,34.72366621,6412.705440850744,-0.029565311041522893,22.266235358958475
South Africa,2021,22.29580067,7.791869619,33.80524961,6828.75624590017,0.0,7.791869619,34.23179478666666,6828.75624590017,-0.02998452541676194,22.265816144583237
